Contact ID,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name,
0038219,182,0002096,00020962303,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0038351,183,1948520,17993101322,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0038640,184,0003672,85101142214431782215,Independent Dealer,IBD,"Securities Service Network, Inc.",
0038650,185,1816025,18160250647,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0038851,186,1735461,10751191833104337164,Independent Dealer,IBD,Raymond James & Associates Inc.,
0038929,187,3000645,85202130383974964365,Independent Dealer,IBD,"Brown Advisory Securities, LLC",
0039080,188,9000166,90001661701,Independent Dealer,NACS,Wells Fargo Advisors,
0039084,189,1948520,17993101365,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0039116,190,1948520,19485200152,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0039126,191,1948520,17993101343,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0039373,192,0001194,00011942784,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0039388,193,1948520,17993100043,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0039413,194,1567450,15674500190,National Broker-Dealer,NACS,Merrill Lynch,
0040082,195,1567450,15674501162,National Broker-Dealer,NACS,Merrill Lynch,
0040098,196,1688552,16885521171,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0040581,197,1688552,16885521721,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0040589,198,0001194,85102112065827845798,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0040680,199,9000166,90001660469,Independent Dealer,NACS,Wells Fargo Advisors,
0040684,200,0022885,85201111833623183227,Independent Dealer,IBD,LPL Financial LLC,
0041014,201,1152749,11527491560,Independent Dealer,IBD,Commonwealth Financial Network,
0041111,202,1567450,15674500232,National Broker-Dealer,NACS,Merrill Lynch,
0041202,203,85201112683918276481,85201112815126833811,Independent Dealer,NACS,Wells Fargo Banking & Investment Services,
0041538,204,1567450,15674502578,National Broker-Dealer,NACS,Merrill Lynch,
0041646,205,1246425,12464252736,Independent Dealer,IBD,"AXA Advisors, LLC",
0041780,206,1688552,16885522393,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0041863,207,0016774,85201131834840319943,Dual,IBD,"Cambridge Investment Research, Inc.",
0041940,208,1735461,17354610728,Independent Dealer,IBD,Raymond James & Associates Inc.,
0042191,209,3001220,00024230238,Independent Dealer,IBD,PNC Investments LLC,
0042258,210,1816025,18160250822,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0042880,211,1567450,15674500068,National Broker-Dealer,NACS,Merrill Lynch,
0043345,212,0022885,00228855818,Independent Dealer,IBD,LPL Financial LLC,
0043493,213,0022885,85102161805169211607,Independent Dealer,IBD,LPL Financial LLC,
0043497,214,0011419,85102133623414873021,Independent Dealer,IBD,"Summit Brokerage Services, Inc.",
0043564,215,1423908,14239082940,Independent Dealer,IBD,"Royal Alliance Associates, Inc.",
0043656,216,0002096,10751200283626546927,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0044045,217,9000166,85201121363584749200,Independent Dealer,NACS,Wells Fargo Advisors,
0044048,218,9000166,85201121363584749200,Independent Dealer,NACS,Wells Fargo Advisors,
0044164,219,1816025,18160250936,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0044289,220,0015287,85102140685898911012,Independent Dealer,IBD,NBC Securities Inc.,
0044319,221,1816025,18160251026,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0044590,222,1688552,85101161093284941557,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
