,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,redemption_curr,redemption_12M,new_Fund_added_12M_x,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MONEY,aum_AC_MULTIPLE,aum_AC_PHYSICAL_COMMODITY,aum_AC_REAL_ESTATE,aum_AC_TARGET,aum_P_529,aum_P_ALT,aum_P_CEF,aum_P_ETF,aum_P_MF,aum_P_SMA,aum_P_UCITS,aum_P_UIT,sales_12M_inclusive,sales_12M,new_Fund_added_12M_y,Channel,Sub channel,Firm name
4903,0334217,,,,,,,,,,,,,1.0,1.0,202744.93,,,,0.0,0.0,0.0,0.0,202744.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202744.93,0.0,0.0,,,,Asset Manager,IBD,CIBC Global Asset Management
4904,4329856,7.0,1.0,7.0,,3.0,1.0,3.0,,2.0,1.0,2.0,,5.0,3.0,3049856.16,,-8000.0,2.0,1160939.15,1580959.58,0.0,0.0,307957.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5912912.85,-2863056.69,0.0,0.0,3149301.56,48752.73,,National Broker-Dealer,NACS,Merrill Lynch
4905,4393469,,,,,,,,,,,,,2.0,2.0,17836.79,,,,8896.35,0.0,8940.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17836.79,0.0,0.0,0.0,,,,Independent Dealer,IBD,LPL Financial LLC
4906,4420359,,2.0,,1.0,,2.0,,1.0,,2.0,,1.0,1.0,1.0,217739.0185,,-116957.4331,,-8898.563914,342330.9352,-115693.3528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224889.0185,-7150.0,0.0,0.0,,,,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
4907,4395357,,,,,,,,,,,,,,,-10878.78,,,,0.0,-10878.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10878.78,0.0,0.0,0.0,,,,Independent Dealer,IBD,Waddell & Reed Inc.
4908,10751190896089949638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.28,1.0,Independent Dealer,IBD,Edward Jones
4909,0300195,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,3.0,3.0,452139.33,,-71668.49,,56150.69,385988.64,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352139.33,100000.0,0.0,0.0,,,,Independent Dealer,IBD,"Raymond James Financial Services, Inc."
4910,4398817,4.0,1.0,,,2.0,1.0,,,1.0,1.0,,,6.0,3.0,294219.94,,-4.85,1.0,26000.7,197849.24,70370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343865.0,0.0,-49645.06,0.0,0.0,0.0,,,,Independent Dealer,IBD,LPL Financial LLC
4911,0181025,,1.0,,,,1.0,,,,1.0,,,5.0,2.0,73809.745,,-8761.18,,16150.895,55670.01,1988.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73809.745,0.0,0.0,0.0,,,,Independent Dealer,IBD,LPL Financial LLC
4912,10761193074857659780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6668.0,1.0,Independent Dealer,NACS,Wells Fargo Advisors
4913,4364320,6.0,13.0,,5.0,1.0,2.0,,1.0,1.0,2.0,,1.0,5.0,2.0,501769.03,,-127922.27,,288668.3,215612.97,-2512.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501769.03,0.0,0.0,0.0,,74818.81,,Independent Dealer,NACS,"Wells Fargo Advisors Financial Network, LLC"
4914,4314684,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,69093.42,,-5993.32,1.0,-20631.58,0.0,0.0,0.0,89725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20631.58,89725.0,0.0,0.0,,,,Fee-Based Adviser,IBD,Northwest Financial Choices
4915,85102162105829801240,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,-209180.44,,-216052.44,,293.26,-209473.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209180.44,0.0,0.0,0.0,,7180.0,,Independent Dealer,IBD,Lincoln Financial Advisors Corp.
4916,0099269,,,,,,,,,,,,,,,-400.0,,,,0.0,-400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,0.0,0.0,,,,Independent Dealer,IBD,"Pruco Securities, LLC"
4917,0176886,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,3.0,2.0,10362.47,,-94881.75,,-118752.13,119584.6,0.0,0.0,9530.0,0.0,0.0,0.0,0.0,0.0,253068.35,0.0,-242705.88,0.0,0.0,0.0,,,,Dual,IBD,Benjamin F. Edwards & Company
4918,85102142365101182098,31.0,26.0,,1.0,5.0,4.0,,1.0,1.0,1.0,,1.0,5.0,1.0,87754.25,-6562.41,-45606.65,1.0,87754.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87754.25,0.0,0.0,0.0,77472.38,58406.33,,Dual,RIA,Lincoln Investment Planning
4919,10751171795419114801,56.0,6.0,,,3.0,1.0,,,1.0,1.0,,,3.0,1.0,25419.28,-537.0,-7300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25419.28,25419.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440.25,44443.455,6.0,Independent Dealer,IBD,"AXA Advisors, LLC"
4920,85202111725848559135,,,,,,,,,,,,,,,-67113.4,,,,0.0,-67113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67113.4,0.0,0.0,0.0,,,,Independent Dealer,IBD,"MML Investors Services, LLC"
4921,10751180077650028671,3.0,27.0,,,1.0,4.0,,,1.0,3.0,,,,,-2920.88,-377.02,-4572.79,1.0,-161.39,-962.85,0.0,0.0,-1796.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2920.88,0.0,0.0,0.0,,12473.34,2.0,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
4922,85101152483324094459,47.0,27.0,,1.0,3.0,4.0,,1.0,1.0,2.0,,1.0,2.0,1.0,41863.61,-5889.73,-85809.56,,45826.68,-3963.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41863.61,0.0,0.0,0.0,19325.0,62426.0,,Independent Dealer,IBD,"Sagepoint Financial, Inc."
4923,0056855,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,8.0,3.0,1795957.91,,-292567.22,,23463.2,1084944.71,687550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687550.0,0.0,1108407.91,0.0,0.0,0.0,,332955.0,1.0,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4924,0194931,,2.0,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,,-265459.53,,-46507.43,,-32565.74,-186386.36,0.0,0.0,-46507.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265459.53,0.0,0.0,0.0,,,,Dual,IBD,Benjamin F. Edwards & Company
4925,85101110405601116709,,,,,,,,,,,,,2.0,1.0,331302.09,,,,331302.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331302.09,0.0,0.0,,,,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc."
4926,85102111394009575066,9.0,3.0,,1.0,3.0,2.0,,1.0,3.0,2.0,,1.0,2.0,1.0,29824.64398,,-37118.78561,3.0,-20562.93042,59663.49887999999,-9275.924481999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54756.71939,0.0,0.0,-24932.075419999997,15054.195,5648.59062,,National Broker-Dealer,NACS,Merrill Lynch
4927,4359972,,,,,,,,,,,,,,,-1940.56,,,,-2095.85,155.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1940.56,0.0,0.0,0.0,,,,Independent Dealer,IBD,Cetera Advisor Networks LLC
4928,4490348,13.0,,,,1.0,,,,1.0,,,,1.0,1.0,15873.02,,,,14597.86,1275.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15873.02,0.0,0.0,0.0,2800.0,2600.0,,Independent Dealer,IBD,"Royal Alliance Associates, Inc."
4929,10751182925667942692,,1.0,,,,1.0,,,,1.0,,,,,-3648.78,,-3648.78,,0.0,0.0,0.0,0.0,-3648.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3648.78,0.0,0.0,0.0,,,,Independent Dealer,IBD,Edward Jones
4930,4321462,,,,,,,,,,,,,1.0,,-303628.785,,,,1913.735,-15064.005,-290478.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-303628.785,0.0,0.0,0.0,,,,Independent Dealer,IBD,Raymond James & Associates Inc.
4931,85201161214025750359,12.0,10.0,,3.0,1.0,3.0,,3.0,1.0,3.0,,3.0,1.0,1.0,28266.655,,-54573.755,,58624.76,-12859.525,-17498.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28266.655,0.0,0.0,0.0,8164.88,9784.6,,Independent Dealer,IBD,Robert W. Baird & Co. Inc.
4932,4350270,576.0,310.0,11.0,13.0,16.0,17.0,6.0,4.0,3.0,3.0,1.0,1.0,12.0,2.0,575284.11,-107077.19,-409631.24,1.0,94211.69,-2168.32,1112.31,0.0,0.0,0.0,0.0,482128.43,0.0,0.0,0.0,0.0,575284.11,0.0,0.0,0.0,1240035.577,2757388.06,,Independent Dealer,NACS,Wells Fargo Advisors
4933,4407959,22.0,50.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,14.0,4.0,886504.5,-528.21,-98529.945,,70187.43,621608.995,177777.715,0.0,-1550.79,0.0,0.0,18481.15,71857.775,0.0,0.0,0.0,814646.725,0.0,0.0,0.0,199574.9,19627.115,1.0,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4934,4446133,44.0,12.0,,8.0,5.0,3.0,,1.0,3.0,2.0,,1.0,2.0,2.0,178800.5066,-274.5,-200025.885,2.0,644.93,15996.606630000002,162158.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178800.5066,0.0,0.0,0.0,,4898.46,,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4935,10751192903366152070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independent Dealer,IBD,Edward Jones
4936,4493487,72.0,389.0,8.0,2.0,8.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,928699.38,-14488.69,-108019.79,2.0,840657.88,-1307.17,89348.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369734.04,558965.34,0.0,0.0,258179.93,314855.53,1.0,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4937,85201152444325382471,35.0,11.0,3.0,,9.0,7.0,3.0,,3.0,3.0,2.0,,12.0,4.0,332870.05,-27786.05,-33978.88,3.0,126002.725,139355.965,61761.36,0.0,5750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332870.05,0.0,0.0,0.0,149046.37,77916.245,,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4938,0045221,32.0,15.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,680164.7420000001,-23032.3725,-242252.1,1.0,274553.4135,243734.8635,-10.985,0.0,161000.0,887.45,0.0,0.0,0.0,0.0,0.0,0.0,347819.126,332345.61600000004,0.0,0.0,,25544.8875,,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4939,0056498,,,,,,,,,,,,,1.0,,-89395.41,,,,-13227.33,-76168.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89395.41,0.0,0.0,0.0,,,,Bank/Trust,IBD,Cetera Investment Services LLC
4940,4484112,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,-38964.47,-33258.96,-20000.0,1.0,0.0,-38964.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38964.47,0.0,0.0,0.0,,,,Bank/Trust,IBD,Park Avenue Securities LLC
4941,4412300,25.0,34.0,2.0,2.0,6.0,10.0,1.0,2.0,3.0,4.0,1.0,1.0,10.0,4.0,483180.0388,-4204.053976,-49668.57166,,152848.2823,262488.0571,34268.35897,0.0,33575.34039,0.0,0.0,0.0,0.0,0.0,17193.438000000002,0.0,465986.6008,0.0,0.0,0.0,42434.672582,42032.984919999995,1.0,Independent Dealer,NACS,Wells Fargo Advisors
4942,4363554,,1.0,,,,1.0,,,,1.0,,,,,-316.3,,-3745.07,,0.0,0.0,-316.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316.3,0.0,0.0,0.0,,,,Dual,IBD,"Independent Financial Group, LLC"
4943,85202110195102016751,,,,,,,,,,,,,,,-5657.21,,,,-5657.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5657.21,0.0,0.0,0.0,,,,Independent Dealer,IBD,"Securities America, Inc."
4944,85102152194312806353,,1.0,,,,1.0,,,,1.0,,,1.0,,-4144.65,,-1948.42,,0.0,-4144.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4144.65,0.0,0.0,0.0,,3103.87,,Independent Dealer,IBD,"Cuna Brokerage Services, Inc."
4945,4393222,,,,,,,,,,,,,,,-60316.09,,,,0.0,-60316.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60316.09,0.0,0.0,0.0,,12077.26,1.0,National Broker-Dealer,NACS,Merrill Lynch
4946,85201142064641899806,24.0,12.0,1.0,3.0,5.0,7.0,1.0,2.0,3.0,3.0,1.0,2.0,7.0,3.0,103117.44,,-61989.77,1.0,8154.83,39027.5,55900.12,0.0,0.0,34.99,0.0,0.0,-1351.25,0.0,0.0,0.0,56651.28,0.0,0.0,47817.41,,34931.287730000004,1.0,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4947,4484448,47.0,84.0,1.0,12.0,5.0,11.0,1.0,5.0,3.0,4.0,1.0,2.0,9.0,3.0,740593.913,-393271.755,-784964.2632,,-497189.2932,1068561.711,23737.515,0.0,147288.705,-1804.725,0.0,0.0,0.0,0.0,0.0,0.0,-182641.122,923235.035,0.0,0.0,,54239.925,1.0,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4948,0202353,,,,,,,,,,,,,4.0,2.0,756879.54,,,,362685.88,-199470.15,593663.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905523.0,0.0,-148643.46,0.0,0.0,0.0,,,,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4949,4349103,,,,,,,,,,,,,2.0,,-242103.52,-154571.54,,,-120427.46,-5.81,0.0,0.0,-121670.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120433.27,-121670.25,0.0,0.0,,,,Independent Dealer,IBD,Commonwealth Financial Network
4950,85101120654190307489,,3.0,,,,1.0,,,,1.0,,,1.0,1.0,-47569.735,,-285.19,,10551.285,-78.37,-58042.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47569.735,0.0,0.0,0.0,,,,Independent Dealer,IBD,"Signator Investors, Inc."
4951,0354677,28.0,11.0,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,93528.67,-1981.11,-1541.8275,1.0,94510.05,-12767.28,0.0,0.0,11785.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179623.96,-86095.29,0.0,0.0,191585.2975,33510.5275,3.0,National Broker-Dealer,NACS,Merrill Lynch
4952,4435539,1195.0,612.0,8.0,26.0,6.0,21.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,1.0,-14032.39953,-411606.36299999995,-1102435.805,2.0,756528.984,-264900.2133,-106555.5684,0.0,-399105.6018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14032.39953,0.0,0.0,0.0,1192374.2374,409604.0956,1.0,Independent Dealer,IBD,"Raymond James Financial Services, Inc."
4953,4439597,185.0,48.0,33.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,887566.17,-40341.24,-205462.48,,-5576.02,58543.05,834599.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964699.96,-77133.79,0.0,0.0,,141609.3,,Independent Dealer,IBD,J.P. Morgan Chase
4954,0285433,,,,,,,,,,,,,2.0,1.0,-42042.08,,,,87777.67,-129819.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42042.08,0.0,0.0,0.0,,,,Independent Dealer,IBD,LPL Financial LLC
4955,10761173584307175283,,3.0,,1.0,,2.0,,1.0,,2.0,,1.0,,,-66469.63,,-66469.63,,0.0,-53005.99,-13463.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66469.63,0.0,0.0,0.0,,72806.68,1.0,Independent Dealer,IBD,J.P. Morgan Chase
4956,4496168,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,-38761.04,,-4690.15,,-32254.4,0.0,-6506.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38761.04,0.0,0.0,0.0,,,,Independent Dealer,IBD,Thrivent Investment Management Inc.
4957,85201151483837875148,4.0,1.0,,,2.0,1.0,,,2.0,1.0,,,1.0,1.0,9564.9075,,-17.9225,1.0,2107.3975,0.0,7457.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9564.9075,0.0,0.0,0.0,,,,Independent Dealer,NACS,Wells Fargo Advisors
4958,85201140015228895485,3.0,,,,1.0,,,,1.0,,,,1.0,1.0,19932.0,,,,0.0,0.0,19932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19932.0,0.0,0.0,0.0,10327.0,9064.0,,Independent Dealer,IBD,Thrivent Investment Management Inc.
4959,85202120483884843743,27.0,19.0,3.0,,2.0,4.0,1.0,,2.0,2.0,1.0,,3.0,2.0,269153.1,,-38963.47,,160291.0,0.0,108862.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269153.1,0.0,0.0,0.0,146188.0,22569.0,,Independent Dealer,IBD,Thrivent Investment Management Inc.
4960,4403761,,,,,,,,,,,,,3.0,3.0,108504.95599999999,,,,5399.36,59465.031839999996,43640.56416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108504.95599999999,0.0,0.0,0.0,,,,Independent Dealer,IBD,"Royal Alliance Associates, Inc."
4961,4463633,,4.0,,,,1.0,,,,1.0,,,,,-135241.52,,-5540.675,,0.0,-134415.46,-826.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135241.52,0.0,0.0,0.0,,,,Independent Dealer,IBD,"MML Investors Services, LLC"
4962,85202122856713585617,,,,,,,,,,,,,,,-23924.87,,,,0.0,-23924.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23924.87,0.0,0.0,0.0,,,,Independent Dealer,IBD,"Equity Services, Inc."
4963,0050320,2.0,10.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,1792650.075,-72127.25,-395181.15,,-92715.22,1971574.65,0.0,0.0,-86209.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42382.62,1750267.455,0.0,0.0,,8610.42,,Independent Dealer,IBD,LPL Financial LLC
4964,4458942,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,-92492.88,,-34559.425,,-23658.795,-68834.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92492.88,0.0,0.0,0.0,,,,Independent Dealer,IBD,Commerce Brokerage Services Inc.
4965,0075909,12.0,26.0,6.0,9.0,4.0,12.0,3.0,9.0,3.0,4.0,3.0,4.0,8.0,1.0,-352807.335,-88377.99,-656990.635,,-779399.115,-22326.76,-123437.84,0.0,572356.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37543.185,-315264.15,0.0,0.0,,231522.49,,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
