CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MONEY,aum_AC_MULTIPLE,aum_AC_PHYSICAL_COMMODITY,aum_AC_REAL_ESTATE,aum_AC_TARGET,aum_P_529,aum_P_ALT,aum_P_CEF,aum_P_ETF,aum_P_MF,aum_P_SMA,aum_P_UCITS,aum_P_UIT,refresh_date
4365965,31,18,,,1,1,,,1,1,,,1,1,-341437.06,,52101.76,,-23050.77,1,23113.78,-364550.84,0,0,0,0,0,0,0,0,0,0,-28374.06,-313063,0,0,12/31/2018
4334264,58,32,9,6,2,2,2,2,2,2,2,2,8,3,8240860.99,,281025,,-202472.715,,7035177.13,1119835.885,4875,0,80972.975,0,0,0,0,0,0,0,8087555.865,153305.125,0,0,12/31/2018
4427938,,,,,,,,,,,,,,,-23326.89,,,,,,0,-23326.89,0,0,0,0,0,0,0,0,0,0,-23326.89,0,0,0,12/31/2018
4428488,21,8,5,2,1,2,1,1,1,2,1,1,5,3,754919.125,150,132284.79,,-87838.43,,554984.205,157937.085,-50396.195,0,92394.03,0,0,0,0,0,0,0,756348.68,-1429.555,0,0,12/31/2018
85201170645220696261,16,15,,,1,1,,,1,1,,,,,-109833.71,444.92,5180.01,-35.9,-15860.89,,-109833.71,0,0,0,0,0,0,0,0,0,0,0,-109833.71,0,0,0,12/31/2018
0296497,,,,,,,,,,,,,,,-64804.85,,,,,,0,-64804.85,0,0,0,0,0,0,0,0,0,0,-64804.85,0,0,0,12/31/2018
85201111584697871373,,,,,,,,,,,,,1,1,-8687.15,,,,,,-58687.15,50000,0,0,0,0,0,0,0,0,0,0,-8687.15,0,0,0,12/31/2018
85102151525164324880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2018
85102151533515616812,,,,,,,,,,,,,,,-6189.7,,,,,,0,-6189.7,0,0,0,0,0,0,0,0,0,0,-6189.7,0,0,0,12/31/2018
0285175,,1,,,,1,,,,1,,,1,1,1371845.25,,,,-1908.96,,-55864.75,1427710,0,0,0,0,0,0,0,0,0,0,-31402.41,1403247.66,0,0,12/31/2018
0287331,,,,,,,,,,,,,,,-600215.21,1000,,,,,1000,0,0,0,-601215.21,0,0,0,0,0,0,0,1000,-601215.21,0,0,12/31/2018
85202142414809780236,30,7,,,2,4,,,1,2,,,11,3,216136.15,2034.31,6927.5,-15791.36,-13529.47,1,16532.68,0,17003.19,0,0,0,0,182600.28,216507.4,0,0,0,-371.25,0,0,0,12/31/2018
0056872,,,,,,,,,,,,,4,2,-80605.575,,,,,,-123009.445,25040.08,0,0,17363.79,0,0,0,0,0,0,0,71565.285,-152170.86,0,0,12/31/2018
85201110264792837032,19,13,2,,4,9,1,,2,4,1,,14,4,831864.27,199.16,137657.04,,-29603.87,2,274027.27,113760.63,366177.79,0,77898.58,0,0,0,0,0,0,0,831864.27,0,0,0,12/31/2018
4365958,,,,,,,,,,,,,3,2,37979.64,,,,,,7133.38,30846.26,0,0,0,0,0,0,0,0,0,0,37979.64,0,0,0,12/31/2018
85201143675584178414,40,9,1,2,2,2,1,2,2,2,1,2,1,1,61260.58,4561.1,85832.48,,-34539.79,1,70850.48,0,-9589.9,0,0,0,0,0,0,0,0,0,61260.58,0,0,0,12/31/2018
85102152283398900987,,,,,,,,,,,,,1,1,7683.38,,,,,,0,0,0,0,7683.38,0,0,0,0,0,0,0,7683.38,0,0,0,12/31/2018
85201121633505449254,,,,,,,,,,,,,1,1,5056.88,,,,,,5056.88,0,0,0,0,0,0,0,0,0,0,0,5056.88,0,0,0,12/31/2018
0342006,,,,,,,,,,,,,2,,-40271.07,,,,,,-31304.31,0,-8966.76,0,0,0,0,0,0,0,0,0,-40271.07,0,0,0,12/31/2018
00872152564648482871,,,,,,,,,,,,,,,-5538.38,,,,,,-4053.03,0,-1485.35,0,0,0,0,0,0,0,0,0,-5538.38,0,0,0,12/31/2018
85201142414218755394,1,1,,1,1,1,,1,1,1,,1,,,-22981.28,,184.75,,-13944.14,1,-13759.39,-9221.89,0,0,0,0,0,0,0,0,0,0,-22981.28,0,0,0,12/31/2018
85101162184164359667,,,,,,,,,,,,,,,-3979.055,,,,,,-2541.485,0,0,0,-1437.57,0,0,0,0,0,0,0,-3979.055,0,0,0,12/31/2018
4477660,,,,,,,,,,,,,,,-73517.41,,,,,,-2951.48,-19066.67,-51499.26,0,0,0,0,0,0,0,0,0,-73517.41,0,0,0,12/31/2018
4468798,33,16,9,2,4,5,3,2,3,4,2,2,7,3,465737.75,,309449.575,-94.735,-158792.035,1,58882.14,353988.45,53357.59,0,-490.43,0,0,0,0,0,0,0,465737.75,0,0,0,12/31/2018
4401574,,,,,,,,,,,,,4,1,275595.44,,,,,,275595.44,0,0,0,0,0,0,0,0,0,0,0,25595.44,250000,0,0,12/31/2018
85101112275139715363,,,,,,,,,,,,,,,652.09,,,,,,652.09,0,0,0,0,0,0,0,0,0,0,0,652.09,0,0,0,12/31/2018
85201132057518016016,124,30,5,8,13,12,4,5,2,2,1,2,11,2,578286.34,18325.6,299392.44,-2738.56,-578643.54,,47702.27,-109054.28,0,0,0,0,0,639638.35,0,0,0,0,578286.34,0,0,0,12/31/2018
4338484,,2,,,,1,,,,1,,,1,1,84895.455,,,,-11134.545,,84895.455,0,0,0,0,0,0,0,0,0,96030,0,-11134.545,0,0,0,12/31/2018
0000286,2,,,,1,,,,1,,,,3,2,-331180.1183,92988.7002,4467.213234,,,,-317340.96,118256.615,15930.90675,0,-148026.68,0,0,0,0,0,15930.90675,0,110238.165,-457349.19,0,0,12/31/2018
0003703,44,78,20,14,5,9,4,5,2,3,2,2,9,3,7803212.077,169787.758,1857353.878,-89725.815,-1325754.464,1,6638292.682,474230.6855,-904.96,0,691593.67,0,0,0,0,0,0,0,-532014.71,8335226.787,0,0,12/31/2018
0272658,,4,,2,,1,,1,,1,,1,3,,-433714.48,,,,-74603.61,,-209641.12,-79507.695,-194.925,0,-144370.74,0,0,0,0,0,0,0,-224443.14,-209271.34,0,0,12/31/2018
0274067,,,,,,,,,,,,,1,1,47852.44,,,,,,0,47852.44,0,0,0,0,0,0,0,0,0,0,47852.44,0,0,0,12/31/2018
