CONTACT_ID,sales_12M,new_Fund_added_12M,refresh_date
4397255,57821.82,1,12/31/2019
10761173063372150683,16671.43269,3,12/31/2019
4435190,47.87,1,12/31/2019
4430688,21649.43,,12/31/2019
4491174,,,12/31/2019
0263842,,,12/31/2019
0264604,2369341.45,2,12/31/2019
0356266,10808.19,,12/31/2019
4455193,,,12/31/2019
4420222,,,12/31/2019
0242956,,,12/31/2019
85101153244714763889,54814.58,2,12/31/2019
4301586,,,12/31/2019
4302161,,,12/31/2019
0067990,16990,1,12/31/2019
4473681,405380.89,,12/31/2019
4435196,828.955,,12/31/2019
85101140663791976259,,,12/31/2019
85202141754921832037,876.84,,12/31/2019
0264213,49676.45,,12/31/2019
4398457,,,12/31/2019
4307510,,,12/31/2019
85201130323458925413,1942.35,1,12/31/2019
0065037,,,12/31/2019
0082566,,,12/31/2019
4355838,1098038.974,1,12/31/2019
4464545,2556.87,1,12/31/2019
4409857,2800.87,1,12/31/2019
85101151643656258730,,,12/31/2019
4356554,220904.35,2,12/31/2019
85102132595493091125,,,12/31/2019
4380988,,,12/31/2019
4464198,,,12/31/2019
4330902,2500.0025,1,12/31/2019
10751192094308751676,,,12/31/2019
0102408,,,12/31/2019
0081709,1418036.67,1,12/31/2019
4333230,,,12/31/2019
4469732,19267.06,,12/31/2019
0118442,,,12/31/2019
4419805,115139.74,1,12/31/2019
0071118,,,12/31/2019
4327998,26670,,12/31/2019
4329985,34062.38,,12/31/2019
10751182214707929756,555.06,,12/31/2019
85102161373760142116,,,12/31/2019
4420459,236191.44,1,12/31/2019
4420706,44937.7,,12/31/2019
4389771,,,12/31/2019
4384584,282365,,12/31/2019
4300447,5622.6,,12/31/2019
4438971,4699.756076,,12/31/2019
4364194,,,12/31/2019
4364370,516,,12/31/2019
85202113143609992620,6818.94,1,12/31/2019
85101132455066348968,,,12/31/2019
4300772,16769.6,,12/31/2019
4483132,,,12/31/2019
4486783,9796.19,,12/31/2019
85102162854996768558,4946,,12/31/2019
4373954,,,12/31/2019
0270291,,,12/31/2019
4398371,144000,,12/31/2019
0018071,22882.56,,12/31/2019
0295461,771951.05,3,12/31/2019
4396345,1932326.874,1,12/31/2019
4490909,,,12/31/2019
10751182034955857313,424974,1,12/31/2019
85101130505067243103,463289.2427,1,12/31/2019
10751181964324880111,,,12/31/2019
4474469,,,12/31/2019
4474557,1771.24,,12/31/2019
4473832,,,12/31/2019
0306926,,,12/31/2019
85101152417914777415,2278266.7,1,12/31/2019
4391655,,,12/31/2019
85201132943228964317,,,12/31/2019
85201140213941433505,224.735,1,12/31/2019
4319652,,,12/31/2019
85101121734994009376,457065.81,,12/31/2019
85202152503692156332,56257.19,1,12/31/2019
0287204,,,12/31/2019
10751173403616511552,107086.58,1,12/31/2019
4354394,,,12/31/2019
4431871,2344643.98,3,12/31/2019
4433307,,,12/31/2019
10761181055648122840,94712.36,,12/31/2019
4354595,,,12/31/2019
0240688,,,12/31/2019
0269184,107.415,,12/31/2019
4459162,,,12/31/2019
85102121054294821985,,,12/31/2019
85202111763356180011,,,12/31/2019
10761173274065374551,5495.66,,12/31/2019
4395295,,,12/31/2019
0083469,1000,,12/31/2019
4334899,4.88,,12/31/2019
0299963,111656,,12/31/2019
10751192374465381100,7050,1,12/31/2019
10751192643769147385,49.5125,1,12/31/2019
10751193573611225843,,,12/31/2019
10751190584594043747,201447.875,2,12/31/2019
85202151085605372869,5488.8875,1,12/31/2019
85102121865809241776,8373246.849,3,12/31/2019
0170426,,,12/31/2019
85202171125380177091,401140.32,1,12/31/2019
4467150,2546.98,,12/31/2019
4328396,,,12/31/2019
85101132944710769439,402421.77,1,12/31/2019
10751171824029069519,33735.96,3,12/31/2019
85201163365934064776,269440.5,1,12/31/2019
0279770,,,12/31/2019
85102130865327710474,8973.72,,12/31/2019
85201170734070696586,27814.18,2,12/31/2019
85201110195893876999,75000,1,12/31/2019
1468982,,,12/31/2019
4468933,,,12/31/2019
4469138,14561.125,1,12/31/2019
4383699,,,12/31/2019
4454734,,,12/31/2019
0109671,222481.659,1,12/31/2019
85102170834887729875,189.534378,1,12/31/2019
4399642,970585.445,,12/31/2019
85101120545603021737,5708,,12/31/2019
4470070,,,12/31/2019
4378471,1507.65,1,12/31/2019
0296504,,,12/31/2019
85202163124558400881,27624,1,12/31/2019
85101111445662635416,32655.89,,12/31/2019
4352820,,,12/31/2019
85102112254837906198,,,12/31/2019
0270051,,,12/31/2019
10751182035348226370,56354.75,2,12/31/2019
10761190093730670626,255415.4,4,12/31/2019
4476231,,,12/31/2019
0111602,18994.17781,1,12/31/2019
0193673,788145.8341,3,12/31/2019
4455283,,,12/31/2019
10751200366799749056,,,12/31/2019
10751182754981871741,136255.91,,12/31/2019
10751180174564907302,32500,1,12/31/2019
4397031,151344.5773,,12/31/2019
4302183,,,12/31/2019
4313360,2400370.885,1,12/31/2019
0296217,,,12/31/2019
85202110723479780614,5654.64,2,12/31/2019
4434663,8428049.565,,12/31/2019
85202131833293281560,,,12/31/2019
4454858,,,12/31/2019
10751193454362302643,43315,1,12/31/2019
0266035,,,12/31/2019
85202152713424334520,20753.03,1,12/31/2019
4390103,1864.88,1,12/31/2019
4464212,6815.45,,12/31/2019
85101122472590107471,2461.16,,12/31/2019
4434822,,,12/31/2019
85201170784984206641,,,12/31/2019
4319785,,,12/31/2019
0060520,,,12/31/2019
